Title,Time Period,Composer,VocalRange,Class,Key,Highest Note,Lowest Note,Runtime of Song,Language,Genre,Assignee Name,
Calm as the Night (Alto),1800s (Romantic),Bohm,Alto,B,Bb,,,2:54,English,,,
O Can You Sew Cushions,1943 (Modern),Britten,Alto,B,Eb,,,,English,,,
"Weep You No More, Sad Fountains",1597 (Renaissance),Dowland,Alto,B,Dm,,,,English,,,
El Majo Timido (Alto),1916 (Romantic),Granados,Alto,B,Bb,,,,Spanish,,,
Slumber Song,1900s (Modern),Gretchaninoff,Alto,B,C,,,,English,,,
With a Water Lily,1870 (Romantic),Grieg,Alto,B,G,,,,English,,,
Fain Would I Change That Note,1605 (Renaissance),Hume,Alto,B,D,,,,English,,,
The Pasture,1940s (Modern),Naginski,Alto,B,Eb,,,,English,,,
Snowbells,1840 (Romantic),Schumann,Alto,B,Bb,,,,English,,,
Lonely People,1900s (Modern),Berger,Alto,C,Em,,,,English,,,
The Salley Gardens (Alto),1943 (Modern),Britten,Alto,C,Db,,,,English,,,
Couldn't Hear Nobody Pray (Low),1922 (Modern),Burleigh,Alto,C,Db,,,,English,,,
The Soldier,1900s (Modern),Davis,Alto,C,Ab,,,,English,,,
Since First I Saw Your Face,1607 (Renaissance),Ford,Alto,C,C,,,,English,,,
Pleading,1800s (Romantic),Franz,Alto,C,Bb,,,,English,,,
The Joys of Love,1784 (Classical),Martini,Alto,C,F,,,,English,,,
O Rest in the Lord (Alto),1846 (Romantic),Mendelssohn,Alto,C,C,,,,English,,,
It Was A Lover and His Lass (Morley),1599 (Renaissance),Morley,Alto,C,D,,,,English,,,
My Lovely Celia (Alto),1700s (Classical),Munro,Alto,C,Eb,,,,English,,,
The Lass from the Low Countree,1934 (Modern),Niles,Alto,C,Bm,,,,English,,,
The Wild Rider,1900s (Modern),Niles,Alto,C,Cm,,,,English,,,
The Lotus Flower,1840 (Romantic),Schumann,Alto,C,Db,,,,English,,,
I'm Called Little Buttercup,1878 (Romantic),Sullivan,Alto,C,C,,,,English,,,
A Simple Song,1971 (Modern),Bernstein,Tenor,A,G,,,,English,,,
Sonntag,1868 (Romantic),Brahms,Tenor,A,G,,,,German,,,
Come raggio di sol,1710 (Baroque),Caldara,Tenor,A,Gm,,,,Italian,,,
"Vittoria, mio core (Tenor)",1646 (Baroque),Carissimi,Tenor,A,C,,,,Italian,,,
My Lady Walks in Loveliness,1900s (Modern),Charles,Tenor,A,F,,,,English,,,
O del mio amato ben,1918 (Modern),Donaudy,Tenor,A,Ab,,,,Italian,,,
Where E'er You Walk (Tenor),1744 (Baroque),Handel,Tenor,A,Bb,,,,English,,,
I Will Sing of Thy Great Mercies,1840 (Romantic),Mendelssohn,Tenor,A,F,,,,English,,,
If With All Your Hearts,1846 (Romantic),Mendelssohn,Tenor,A,Eb,,,,English,,,
Nina (Tenor),1700s (Baroque),Pergolesi,Tenor,A,Gm,,,,Italian,,,
I Attempt From Love's Sickness (Tenor),1695 (Baroque),Purcell,Tenor,A,F,,,,English,,,
Hey Ho the Wind and the Rain,1921 (Modern),Roger Quilter,Tenor,A,Eb,,,,English,,,
The Roadside Fire (Tenor),1904 (Post-Romantic),Vaughan Williams,Tenor,A,F,,,,English,,,
The Daisies (Tenor),1936 (Modern),Barber,Tenor,B,F,,,,English,,,
It Must Be So,1956 (Modern),Bernstein,Tenor,B,Dm,Highest,Lowest,N/A,English,,Mae,No tracks
Who Is Sylvia?,1900s (Modern),Coates,Tenor,B,D,N/A,N/A,N/A,English,,Mae,No tracks & No Music
The Dodger (Tenor),1950 (Modern),Copland,Tenor,B,G,N/A,N/A,N/A,English,,Mae,No tracks & No Music
Oh Promise Me,1889 (Romantic),DeKoven,Tenor,B,F,N/A,N/A,N/A,English,,Mae,No tracks & No Music
On Wings of Song (Tenor),1834 (Romantic),Mendelssohn,Tenor,B,Ab,,,N/A,English,,Mae,No tracks
My Lovely Celia (Tenor),1700s (Classical),Munro,Tenor,B,G,N/A,N/A,N/A,English,,Mae,No tracks & No Music
Gambler Don't Lose Your Place (Tenor),1900s (Modern),Niles,Tenor,B,F,N/A,N/A,N/A,English,,Mae,No tracks & No Music
What Songs Were Sung (Tenor),1900s (Modern),Niles,Tenor,B,Dm,N/A,N/A,N/A,English,,Mae,No tracks & No Music
Weep you no more (Tenor),1900s (Modern),Quilter,Tenor,B,Fm,,,N/A,English,,Mae,No tracks
Wanderer's Night-Song,1823 (Romantic),Schubert,Tenor,B,Bb,,,N/A,English,,Mae,No tracks
Linden Lea,1901 (Romantic),Vaughn Williams,Tenor,B,G,,,N/A,English,,Mae,No tracks
Amazing Grace (Tenor),1779 (Classical),Althouse,Tenor,C,G,,,2:35,English,,Andy,
I Love Thee,1795 (Classical),Beethoven,Tenor,C,G,,,N/A,English,,Andy,No tracks
Across the Western Ocean (Tenor),1900s (Modern),Dougherty,Tenor,C,D,,,N/A,English,,Andy,No tracks
Rio Grande,1900s (Modern),Dougherty,Tenor,C,Eb,N/A,N/A,N/A,English,,Andy,No tracks & No Music
Turtle Dove,1800s (Traditional),English Folk Song,Tenor,C,Bm,N/A,N/A,N/A,English,,Andy,No tracks & No Music
Angels through the Night,1900s (Modern),Kern,Tenor,C,G,N/A,N/A,N/A,English,,Andy,No tracks & No Music
Greensleeves (Tenor),1900s (Modern),Kern,Tenor,C,Gm,,,N/A,English,,Andy,No tracks
"Jesus, Jesus, Rest Your Head (Niles)",1934 (Modern),Niles,Tenor,C,G,N/A,N/A,N/A,English,,Andy,No tracks & No Music
Passing By (Tenor),1600s (Baroque),Purcell,Tenor,C,G,N/A,N/A,N/A,English,,Andy,No tracks & No Music
Drink to Me Only with Thine Eyes (Tenor),1700s (Classical),Old English,Tenor,C,Eb,N/A,N/A,N/A,English,,Andy,No tracks & No Music
"Jesus, Jesus, Rest Your Head (Row, Tenor)",1900s (Modern),Row,Tenor,C,G,,,,English,,Shanaya,
Think On Me (Tenor),1800s (Romantic),Scott,Tenor,C,F,,,,English,,Shanaya,
"Vittoria, mio core (Baritone)",1646 (Baroque),Carissimi,Baritone,A,A,D4,A2,,Italian,,Shanaya,
Clair De Lune,1887 (Romantic),Faure,Baritone,A,Gm,D4,D3,,French,,Shanaya,
Les Berceaux,1879 (Romantic),Faure,Baritone,A,Am,E4,G2,,French,,Shanaya,
Lydia,1870 (Romantic),Faure,Baritone,A,Eb,Eb4,Eb3,,French,,Shanaya,
Der Wanderer,1700s (Classical),Haydn,Baritone,A,Gm,Eb4,D3,,German,,Shanaya,
"Money, O! (Baritone)",1929 (Modern),Head,Baritone,A,Gm,D4,Bb2,,English,,Shanaya,
The Rovin' Gambler,1900s (Modern),Niles,Baritone,A,Eb,Eb4,Bb2,,English,,Shanaya,
Nina (Baritone),1700s (Baroque),Pergolesi,Baritone,A,Dm,,,,Italian,,Shanaya,
Come Ye Blessed,1800s (Romantic),Scott,Baritone,A,Eb,Eb4,Bb2,,English,,Shanaya,
The Roadside Fire (Baritone),1904 (Post-Romantic),Vaughan Williams,Baritone,A,Db,Db4,Bb2,,English,,Shanaya,
The Vagabond (Baritone),1904 (Post-Romantic),Vaughan Williams,Baritone,A,Cm,,,,English,,,
Love Has Eyes (Baritone),1814 (Romantic),Bishop,Baritone,B,F,,,,English,,,
Calm as the Night (Baritone),1800s (Romantic),Bohm,Baritone,B,Bb,,,,English,,,
The Trumpeter,1904 (Romantic),Dix,Baritone,B,G,,,,English,,,
Rolling Down to Rio (Baritone),1902 (Romantic),German,Baritone,B,Gm,,,,English,,,
Rend'il sereno al ciglio,1734 (Baroque),Handel,Baritone,B,F,,,,Italian,,,
When First We Met (Baritone),1700s (Baroque),Handel,Baritone,B,F,,,,English,,,
Where E'er You Walk (Baritone),1744 (Baroque),Handel,Baritone,B,G,,,,English,,,
Evening,1900s (Modern),Niles,Baritone,B,Em,,,,English,,,
Gambler Don't Lose Your Place (Baritone),1900s (Modern),Niles,Baritone,B,Eb,,,,English,,,
The Gambler's Lament,1900s (Modern),Niles,Baritone,B,Em,,,,English,,,
An den Sonnenschein,1840 (Romantic),Schumann,Baritone,B,G,,,,German,,,
Zueignung,1883 (Romantic),Richard Strauss,Vocal All,B,Ab,,,,German,,,
I am a Pirate King,1879 (Romantic),Sullivan,Baritone,B,C,,,,English,,,
The Policeman's Song,1879 (Romantic),Sullivan,Baritone,B,F,,,,English,,,
Down Among the Dead Men (Baritone),1700s (Classical),Anonymous,Baritone,C,Bm,,,,English,,,
Across the Western Ocean (Baritone),1900s (Modern),Dougherty,Baritone,C,D,,,,English,,,
Five Eyes,1922 (Modern),Gibbs,Baritone,C,Bb,,,,English,,,
Serenade,1700s (Classical),Haydn,Baritone,C,Bb,,,,English,,,
Passing By (Baritone),1800s (Romantic),Purcell,Baritone,C,Eb,,,,English,,,
The Jolly Roger,1900s (Modern),Robertson,Baritone,C,F,,,,English,,,
"Jesus, Jesus, Rest Your Head (Row, Baritone)",1900s (Modern),Row,Baritone,C,D,,,,English,,,
Think On Me (Baritone),1800s (Romantic),Scott,Baritone,C,Eb,,,,English,,,
When I Was One-And-Twenty (Baritone),1904 (Romantic),Somervell,Baritone,C,Bb,,,,English,,,
Io So Che Pria Mi Moro,1650 (Baroque),Aniello,Bass,A,Em,,,,Italian,,,
"I Said, ""I Will Forget Thee"" (German Only)",1864 (Romantic),Brahms,Bass,A,Dm,,,,German,,,
"Deep River (Low, Bass)",1800s (Traditional),Burleigh,Bass,A,C,,,,English,,,
"Vittoria, mio core (Bass)",1646 (Baroque),Carissimi,Bass,A,A,D4,A2,,Italian,,,
"Arm, Arm Ye Brave",1746 (Baroque),Handel,Bass,A,C,,,,English,,,
Si Tra I Ceppi,1738 (Baroque),Handel,Bass,A,C,,,,Italian,,,
"Money, O! (Bass)",1929 (Modern),Head,Bass,A,Gm,D4,Bb2,,English,,,
In diesen heil'gen Hallen,1791 (Classical),Mozart,Bass,A,E,,,,German,,,
O Isis und Osiris,1791 (Classical),Mozart,Bass,A,F,,,,German,,,
Nina (Bass),1700s (Baroque),Pergolesi,Bass,A,Dm,,,,Italian,,,
"Arise, Ye Subterranean Winds",1695 (Baroque),Purcell,Bass,A,C,,,,English,,,
Strike the Viol,1694 (Baroque),Purcell,Bass,A,F#m,,,,English,,,
Pilgrim's Song,1880 (Romantic),Tchaikovsky,Bass,A,D,,,,English,,,
The Roadside Fire (Bass),1904 (Post-Romantic),Vaughan Williams,Bass,A,Db,Db4,Bb2,,English,,,
The Vagabond (Bass),1904 (Post-Romantic),Vaughan Williams,Bass,A,Cm,,,,English,,,
Bright is the Ring of Words,1904 (Post-Romantic),Vaughan Williams,Bass,A,C,,,,English,,,
Cabin,1946 (Modern),Bowles,Bass,B,F#m,,,,English,,,
Shenandoah,1800s (Traditional),Dougherty,Bass,B,D,,,,English,,,
Rolling Down to Rio (Bass),1902 (Romantic),German,Bass,B,Gm,,,,English,,,
When I Was One-And-Twenty (Bass),1904 (Romantic),Somervell,Bass,B,Bb,,,,English,,,
To the Forest,1880 (Romantic),Tchaikovsky,Bass,B,D,,,,English,,,
Every Time I Feel the Spirit,1800s (Traditional),African American,Bass,C,C,,,,English,,,
Mary Had a Baby,1800s (Traditional),African American,Bass,C,C,C4,C3,2:16,English,Spiritual,Emma,
Down Among the Dead Men (Bass),1700s (Traditional),Anonymous,Bass,C,Bm,,,,English,,,
The Salley Gardens (Bass),1943 (Modern),Britten,Bass,C,Db,,,,English,,,
I Bought Me a Cat,1950 (Modern),Copland,Bass,C,F,,,,English,,,
The Dodger (Bass),1950 (Modern),Copland,Bass,C,G,,,,English,,,
Across the Western Ocean (Bass),1800s (Traditional),Dougherty,Bass,C,D,,,,English,Folk/Shanty,,
The Water is Wide (Ruck),1600s (Traditional),English Folksong/Ruck,Bass,C,F,C4,C3,2:44,English,Folk,Emma,
When First We Met (Bass),1700s (Baroque),Handel,Bass,C,F,C4,C3,,English,Classical,Emma,
Black is the Color,1941 (Modern),Niles,Bass,C,Ebm,,,,English,Folk,Emma,
The Monk and His Cat,1953 (Modern),Barber,Alto,A,F,E5,D4,2:31,English,Classic,Emma,
How Can I Keep from Singing,1868 (Romantic),"Lowry, arr. Ruck",Alto,C,F,,,2:40,English,Hymn,Emma,
If there were Dreams to Sell,1918 (Modern),Ireland,Alto,A,Db,Bb4,D4,2:09,English,Classic,Emma,
Over the Land is April (Alto),1894 (Romantic),Quilter,Alto,A,C,E5,D4,3:05,English,Classic,Emma,
The Black Swan,1946 (Modern),Menotti,Mezzo Soprano,A,Gm,,,,English,Classical Opera,Emma,
Come To The Fair,1917 (Modern),Martin,Soprano,B,Bb,G5,G4,2:43,English,Classical,Emma,
Ich Liebe Dich,1864 (Romantic),Grieg,Soprano,B,C,E5,E4,2:19,German,Classical,Emma,
A Slumber Song of the Madonna,1938 (Modern),Barber,Soprano,B,Ab,E5,C#4,2:22,English,Classical,Emma,
"Mother, I Cannot Mind My Wheel",1940s (Modern),Barber,Soprano,B,Am,E5,D#4,1:33,English,Classical,Emma,
The Silver Swan,1612 (Renaissance),Gibbons,Soprano,B,Eb,F5,F4,1:46,English,Madrigal,Emma,
My Master Hath a Garden,1900s (Modern),Thompson,Soprano,C,Eb,N/A,N/A,N/A,English,N/A,Emma,
Balm in Gilead,1800s (Traditional),Ruck,Soprano,C,G,,,2:52,English,Spiritual,Emma,
Didn't My Lord Deliver Daniel?,1800s (Traditional),Arranged by Brian Dean,Mezzo Soprano,C,Gm,Eb5,G4,1:49,English,Spiritual,Emma,
Mary Had a Baby (Walters),1800s (Traditional),Arranged by Richard Walters,Mezzo Soprano,C,Eb,,,2:36,English,Spiritual,Emma,
Che fiero costume,1600s (Baroque),Giovanni Legrenzi,Mezzo Soprano,A,Em,C#5,B3,2:40,Italian,Classical,Emma,
Mai,1880 (Romantic),Faure,Mezzo Soprano,A,E,E4,A#3,2:13,French,Classical,Emma,
Au bord de leau,1875 (Romantic),Faure,Mezzo Soprano,A,Bbm,Eb5,Db4,2:15,French,Classic,Emma,
Nuit dEtoiles,1880 (Romantic),Debussy,Mezzo Soprano,B,Eb,G5,D4,3:10,French,Classic,Emma,
Domine Deus (Soprano),1715 (Baroque),Vivaldi,Soprano,B,C,F5,F4,3:26,Latin,Classical/Sacred,Emma,
"Le Violette (Soprano, High)",1694 (Baroque),Scarlatti,Soprano,A,C,G5,G4,2:42,Italian,Classical,Emma,
Le Violette (Soprano),1694 (Baroque),Scarlatti,Soprano,A,Bb,G5(B5),F4,2:42,Italian,Classical,Emma,
Sento nel core (High),1700 (Baroque),Scarlatti,Soprano,A,Gm,G5,F#4,3:30,Italian,Classical,Emma,
Alleluia,1773 (Classical),Mozart,Soprano,A,F,A5(C6),F4,2:43,Latin,Classical,Emma,
My Heart Ever Faithful,1725 (Baroque),Bach,Soprano,A,F,A5,F4,2:36,German,Classical,Emma,
Ridente la calma,1775 (Classical),Mozart,Soprano,A,F,A5,F4,4:21,Italian,Classical,Emma,
Se Florinda e fedele (Soprano),1694 (Baroque),Scarlatti,Soprano,A,Bb,F5,F4,2:16,Italian,Classical/Baroque,Emma,
Classical,1694 (Baroque),Scarlatti,Soprano,B,Am,G5,G#4,1:15,Italian,Classical,Emma,
Steal Away,1800s (Traditional),Ruck,Soprano,C,F,,,3:20,English,,Emma,
Se Florindo e fedele (Vocal All),1694 (Baroque),"Scarlatti, A",Vocal All,A,Ab,,,2:15,Italian,Classical/baroque,Emma,
379,,,,379,379,176,176,190,379,190,249,
